"","GMIS.Region","GMIS.Division","Position","Total.Filled","Total.Unfilled","Total.Authorized","Filling.Up.Rate"
"1","Cordillera Administrative Region (CAR)","CO/RO/SDO","Accountant I",3,0,3,100
"2","Cordillera Administrative Region (CAR)","CO/RO/SDO","Accountant II",2,1,3,66.67
"3","Cordillera Administrative Region (CAR)","CO/RO/SDO","Accountant III",1,0,1,100
"4","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide I",10,0,10,100
"5","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide II",3,0,3,100
"6","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide III",4,1,5,80
"7","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide IV",4,0,4,100
"8","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide V",1,0,1,100
"9","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Aide VI",12,0,12,100
"10","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Assistant I",10,0,10,100
"11","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Assistant II",7,2,9,77.78
"12","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Assistant III",5,1,6,83.33
"13","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Assistant V",1,0,1,100
"14","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Officer I",2,0,2,100
"15","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Officer II",8,0,8,100
"16","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Officer III",2,0,2,100
"17","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Officer IV",10,0,10,100
"18","Cordillera Administrative Region (CAR)","CO/RO/SDO","Administrative Officer V",9,0,9,100
"19","Cordillera Administrative Region (CAR)","CO/RO/SDO","Assistant Teacher's Camp Superintendent",1,0,1,100
"20","Cordillera Administrative Region (CAR)","CO/RO/SDO","Attorney III",1,0,1,100
"21","Cordillera Administrative Region (CAR)","CO/RO/SDO","Attorney IV",1,0,1,100
"22","Cordillera Administrative Region (CAR)","CO/RO/SDO","Chief Administrative Officer",2,0,2,100
"23","Cordillera Administrative Region (CAR)","CO/RO/SDO","Chief Education Supervisor",6,0,6,100
"24","Cordillera Administrative Region (CAR)","CO/RO/SDO","Computer Maintenance Technologist I",1,0,1,100
"25","Cordillera Administrative Region (CAR)","CO/RO/SDO","Computer Programmer II",1,0,1,100
"26","Cordillera Administrative Region (CAR)","CO/RO/SDO","Dentist III",1,0,1,100
"27","Cordillera Administrative Region (CAR)","CO/RO/SDO","Director III",1,0,1,100
"28","Cordillera Administrative Region (CAR)","CO/RO/SDO","Director IV",1,0,1,100
"29","Cordillera Administrative Region (CAR)","CO/RO/SDO","Dormitory Manager II",1,0,1,100
"30","Cordillera Administrative Region (CAR)","CO/RO/SDO","Draftsman II",1,0,1,100
"31","Cordillera Administrative Region (CAR)","CO/RO/SDO","Education Program Specialist II",4,0,4,100
"32","Cordillera Administrative Region (CAR)","CO/RO/SDO","Education Program Supervisor",21,0,21,100
"33","Cordillera Administrative Region (CAR)","CO/RO/SDO","Engineer III",1,0,1,100
"34","Cordillera Administrative Region (CAR)","CO/RO/SDO","Guesthouse Caretaker",18,0,18,100
"35","Cordillera Administrative Region (CAR)","CO/RO/SDO","Information Technology Officer I",1,0,1,100
"36","Cordillera Administrative Region (CAR)","CO/RO/SDO","Legal Assistant II",1,0,1,100
"37","Cordillera Administrative Region (CAR)","CO/RO/SDO","Librarian II",1,0,1,100
"38","Cordillera Administrative Region (CAR)","CO/RO/SDO","Medical Officer IV",1,0,1,100
"39","Cordillera Administrative Region (CAR)","CO/RO/SDO","Nutritionist-Dietitian II",1,0,1,100
"40","Cordillera Administrative Region (CAR)","CO/RO/SDO","Planning Officer III",1,0,1,100
"41","Cordillera Administrative Region (CAR)","CO/RO/SDO","Project Development Officer II",3,0,3,100
"42","Cordillera Administrative Region (CAR)","CO/RO/SDO","Project Development Officer IV",1,0,1,100
"43","Cordillera Administrative Region (CAR)","CO/RO/SDO","Security Guard I",1,0,1,100
"44","Cordillera Administrative Region (CAR)","CO/RO/SDO","Senior Education Program Specialist",1,1,2,50
"45","Cordillera Administrative Region (CAR)","CO/RO/SDO","Special Investigator III",1,0,1,100
"46","Cordillera Administrative Region (CAR)","CO/RO/SDO","Statistician I",1,0,1,100
"47","Cordillera Administrative Region (CAR)","CO/RO/SDO","Supervising Administrative Officer ",2,0,2,100
"48","Cordillera Administrative Region (CAR)","CO/RO/SDO","Teacher Credentials Evaluator II",1,0,1,100
"49","Cordillera Administrative Region (CAR)","CO/RO/SDO","Teachers' Camp Superintendent",1,0,1,100
"50","Cordillera Administrative Region (CAR)","Abra","Accountant III",1,0,1,100
"51","Cordillera Administrative Region (CAR)","Abra","Administrative Aide I",38,0,38,100
"52","Cordillera Administrative Region (CAR)","Abra","Administrative Aide II",1,0,1,100
"53","Cordillera Administrative Region (CAR)","Abra","Administrative Aide III",8,0,8,100
"54","Cordillera Administrative Region (CAR)","Abra","Administrative Aide IV",6,0,6,100
"55","Cordillera Administrative Region (CAR)","Abra","Administrative Aide VI",8,0,8,100
"56","Cordillera Administrative Region (CAR)","Abra","Administrative Assistant I",1,0,1,100
"57","Cordillera Administrative Region (CAR)","Abra","Administrative Assistant II",66,10,76,86.84
"58","Cordillera Administrative Region (CAR)","Abra","Administrative Assistant III",54,21,75,72
"59","Cordillera Administrative Region (CAR)","Abra","Administrative Officer I",10,0,10,100
"60","Cordillera Administrative Region (CAR)","Abra","Administrative Officer II",236,6,242,97.52
"61","Cordillera Administrative Region (CAR)","Abra","Administrative Officer III",2,1,3,66.67
"62","Cordillera Administrative Region (CAR)","Abra","Administrative Officer IV",7,0,7,100
"63","Cordillera Administrative Region (CAR)","Abra","Administrative Officer V",2,0,2,100
"64","Cordillera Administrative Region (CAR)","Abra","Agriculturist I",2,4,6,33.33
"65","Cordillera Administrative Region (CAR)","Abra","Assistant Schools Division Superintendent",1,0,1,100
"66","Cordillera Administrative Region (CAR)","Abra","Attorney III",1,0,1,100
"67","Cordillera Administrative Region (CAR)","Abra","Chief Education Supervisor",2,0,2,100
"68","Cordillera Administrative Region (CAR)","Abra","Dental Aide",1,0,1,100
"69","Cordillera Administrative Region (CAR)","Abra","Dentist II",2,0,2,100
"70","Cordillera Administrative Region (CAR)","Abra","Education Program Specialist II",5,0,5,100
"71","Cordillera Administrative Region (CAR)","Abra","Education Program Supervisor",11,0,11,100
"72","Cordillera Administrative Region (CAR)","Abra","Electronics and Communications Equipment Technician I",1,0,1,100
"73","Cordillera Administrative Region (CAR)","Abra","Engineer III",1,0,1,100
"74","Cordillera Administrative Region (CAR)","Abra","Farm Worker I",1,7,8,12.5
"75","Cordillera Administrative Region (CAR)","Abra","Guidance Counselor II",1,8,9,11.11
"76","Cordillera Administrative Region (CAR)","Abra","Guidance Counselor III",1,2,3,33.33
"77","Cordillera Administrative Region (CAR)","Abra","Head Teacher I",25,2,27,92.59
"78","Cordillera Administrative Region (CAR)","Abra","Head Teacher II",21,1,22,95.45
"79","Cordillera Administrative Region (CAR)","Abra","Head Teacher III",45,5,50,90
"80","Cordillera Administrative Region (CAR)","Abra","Head Teacher VI",5,0,5,100
"81","Cordillera Administrative Region (CAR)","Abra","Information Technology Officer I",1,0,1,100
"82","Cordillera Administrative Region (CAR)","Abra","Librarian II",1,0,1,100
"83","Cordillera Administrative Region (CAR)","Abra","Master Teacher I",152,0,152,100
"84","Cordillera Administrative Region (CAR)","Abra","Master Teacher II",86,1,87,98.85
"85","Cordillera Administrative Region (CAR)","Abra","Master Teacher III",2,0,2,100
"86","Cordillera Administrative Region (CAR)","Abra","Medical Officer III",1,0,1,100
"87","Cordillera Administrative Region (CAR)","Abra","Nurse II",41,1,42,97.62
"88","Cordillera Administrative Region (CAR)","Abra","Planning Officer III",1,0,1,100
"89","Cordillera Administrative Region (CAR)","Abra","Project Development Officer I",9,0,9,100
"90","Cordillera Administrative Region (CAR)","Abra","Project Development Officer II",2,0,2,100
"91","Cordillera Administrative Region (CAR)","Abra","Public Schools District Supervisor",10,0,10,100
"92","Cordillera Administrative Region (CAR)","Abra","Registrar I",1,0,1,100
"93","Cordillera Administrative Region (CAR)","Abra","School Librarian I",2,0,2,100
"94","Cordillera Administrative Region (CAR)","Abra","School Librarian III",2,0,2,100
"95","Cordillera Administrative Region (CAR)","Abra","School Principal I",57,2,59,96.61
"96","Cordillera Administrative Region (CAR)","Abra","School Principal II",24,1,25,96
"97","Cordillera Administrative Region (CAR)","Abra","School Principal III",15,1,16,93.75
"98","Cordillera Administrative Region (CAR)","Abra","School Principal IV",1,0,1,100
"99","Cordillera Administrative Region (CAR)","Abra","Schools Division Superintendent",1,0,1,100
"100","Cordillera Administrative Region (CAR)","Abra","Security Guard I",16,0,16,100
"101","Cordillera Administrative Region (CAR)","Abra","Security Guard II",1,0,1,100
"102","Cordillera Administrative Region (CAR)","Abra","Senior Education Program Specialist",2,2,4,50
"103","Cordillera Administrative Region (CAR)","Abra","Special Education Teacher I",2,0,2,100
"104","Cordillera Administrative Region (CAR)","Abra","Special Education Teacher III",1,0,1,100
"105","Cordillera Administrative Region (CAR)","Abra","Special Science Teacher I",4,0,4,100
"106","Cordillera Administrative Region (CAR)","Abra","Teacher I",569,7,576,98.78
"107","Cordillera Administrative Region (CAR)","Abra","Teacher II",326,2,328,99.39
"108","Cordillera Administrative Region (CAR)","Abra","Teacher III",1679,5,1684,99.7
"109","Cordillera Administrative Region (CAR)","Abra","Watchman I",1,0,1,100
"110","Cordillera Administrative Region (CAR)","Apayao","Accountant III",1,0,1,100
"111","Cordillera Administrative Region (CAR)","Apayao","Administrative Aide I",6,0,6,100
"112","Cordillera Administrative Region (CAR)","Apayao","Administrative Aide III",2,0,2,100
"113","Cordillera Administrative Region (CAR)","Apayao","Administrative Aide IV",1,0,1,100
"114","Cordillera Administrative Region (CAR)","Apayao","Administrative Aide VI",7,1,8,87.5
"115","Cordillera Administrative Region (CAR)","Apayao","Administrative Assistant I",1,0,1,100
"116","Cordillera Administrative Region (CAR)","Apayao","Administrative Assistant II",44,4,48,91.67
"117","Cordillera Administrative Region (CAR)","Apayao","Administrative Assistant III",46,2,48,95.83
"118","Cordillera Administrative Region (CAR)","Apayao","Administrative Officer I",4,0,4,100
"119","Cordillera Administrative Region (CAR)","Apayao","Administrative Officer II",111,43,154,72.08
"120","Cordillera Administrative Region (CAR)","Apayao","Administrative Officer III",1,0,1,100
"121","Cordillera Administrative Region (CAR)","Apayao","Administrative Officer IV",4,0,4,100
"122","Cordillera Administrative Region (CAR)","Apayao","Administrative Officer V",2,0,2,100
"123","Cordillera Administrative Region (CAR)","Apayao","Assistant Schools Division Superintendent",1,0,1,100
"124","Cordillera Administrative Region (CAR)","Apayao","Attorney III",1,0,1,100
"125","Cordillera Administrative Region (CAR)","Apayao","Chief Education Supervisor",2,0,2,100
"126","Cordillera Administrative Region (CAR)","Apayao","Dentist II",2,0,2,100
"127","Cordillera Administrative Region (CAR)","Apayao","Education Program Specialist II",5,0,5,100
"128","Cordillera Administrative Region (CAR)","Apayao","Education Program Supervisor",11,0,11,100
"129","Cordillera Administrative Region (CAR)","Apayao","Engineer III",1,0,1,100
"130","Cordillera Administrative Region (CAR)","Apayao","Farm Worker I",2,0,2,100
"131","Cordillera Administrative Region (CAR)","Apayao","Guidance Counselor III",1,0,1,100
"132","Cordillera Administrative Region (CAR)","Apayao","Head Teacher I",18,4,22,81.82
"133","Cordillera Administrative Region (CAR)","Apayao","Head Teacher II",6,0,6,100
"134","Cordillera Administrative Region (CAR)","Apayao","Head Teacher III",28,2,30,93.33
"135","Cordillera Administrative Region (CAR)","Apayao","Head Teacher VI",1,0,1,100
"136","Cordillera Administrative Region (CAR)","Apayao","Information Technology Officer I",1,0,1,100
"137","Cordillera Administrative Region (CAR)","Apayao","Librarian II",1,0,1,100
"138","Cordillera Administrative Region (CAR)","Apayao","Master Teacher I",90,1,91,98.9
"139","Cordillera Administrative Region (CAR)","Apayao","Master Teacher II",38,0,38,100
"140","Cordillera Administrative Region (CAR)","Apayao","Master Teacher III",1,0,1,100
"141","Cordillera Administrative Region (CAR)","Apayao","Medical Officer III",1,0,1,100
"142","Cordillera Administrative Region (CAR)","Apayao","Nurse II",17,0,17,100
"143","Cordillera Administrative Region (CAR)","Apayao","Planning Officer III",1,0,1,100
"144","Cordillera Administrative Region (CAR)","Apayao","Project Development Officer I",8,0,8,100
"145","Cordillera Administrative Region (CAR)","Apayao","Project Development Officer II",2,0,2,100
"146","Cordillera Administrative Region (CAR)","Apayao","Public Schools District Supervisor",10,0,10,100
"147","Cordillera Administrative Region (CAR)","Apayao","School Principal I",33,4,37,89.19
"148","Cordillera Administrative Region (CAR)","Apayao","School Principal II",10,0,10,100
"149","Cordillera Administrative Region (CAR)","Apayao","School Principal III",8,0,8,100
"150","Cordillera Administrative Region (CAR)","Apayao","School Principal IV",2,0,2,100
"151","Cordillera Administrative Region (CAR)","Apayao","Schools Division Superintendent",1,0,1,100
"152","Cordillera Administrative Region (CAR)","Apayao","Security Guard I",7,0,7,100
"153","Cordillera Administrative Region (CAR)","Apayao","Senior Education Program Specialist",4,0,4,100
"154","Cordillera Administrative Region (CAR)","Apayao","Special Education Teacher I",4,5,9,44.44
"155","Cordillera Administrative Region (CAR)","Apayao","Special Science Teacher I",3,0,3,100
"156","Cordillera Administrative Region (CAR)","Apayao","Teacher I",426,45,471,90.45
"157","Cordillera Administrative Region (CAR)","Apayao","Teacher II",186,3,189,98.41
"158","Cordillera Administrative Region (CAR)","Apayao","Teacher III",884,8,892,99.1
"159","Cordillera Administrative Region (CAR)","Baguio City","Accountant III",1,0,1,100
"160","Cordillera Administrative Region (CAR)","Baguio City","Administrative Aide I",23,0,23,100
"161","Cordillera Administrative Region (CAR)","Baguio City","Administrative Aide III",4,1,5,80
"162","Cordillera Administrative Region (CAR)","Baguio City","Administrative Aide IV",6,0,6,100
"163","Cordillera Administrative Region (CAR)","Baguio City","Administrative Aide VI",5,4,9,55.56
"164","Cordillera Administrative Region (CAR)","Baguio City","Administrative Assistant I",1,0,1,100
"165","Cordillera Administrative Region (CAR)","Baguio City","Administrative Assistant II",25,4,29,86.21
"166","Cordillera Administrative Region (CAR)","Baguio City","Administrative Assistant III",22,7,29,75.86
"167","Cordillera Administrative Region (CAR)","Baguio City","Administrative Officer I",4,0,4,100
"168","Cordillera Administrative Region (CAR)","Baguio City","Administrative Officer II",68,0,68,100
"169","Cordillera Administrative Region (CAR)","Baguio City","Administrative Officer III",3,0,3,100
"170","Cordillera Administrative Region (CAR)","Baguio City","Administrative Officer IV",6,0,6,100
"171","Cordillera Administrative Region (CAR)","Baguio City","Administrative Officer V",2,0,2,100
"172","Cordillera Administrative Region (CAR)","Baguio City","Assistant School Principal II",2,0,2,100
"173","Cordillera Administrative Region (CAR)","Baguio City","Assistant Schools Division Superintendent",1,0,1,100
"174","Cordillera Administrative Region (CAR)","Baguio City","Attorney III",1,0,1,100
"175","Cordillera Administrative Region (CAR)","Baguio City","Chief Education Supervisor",2,0,2,100
"176","Cordillera Administrative Region (CAR)","Baguio City","Dental Aide",3,0,3,100
"177","Cordillera Administrative Region (CAR)","Baguio City","Dentist I",1,0,1,100
"178","Cordillera Administrative Region (CAR)","Baguio City","Dentist II",2,0,2,100
"179","Cordillera Administrative Region (CAR)","Baguio City","Education Program Specialist II",5,0,5,100
"180","Cordillera Administrative Region (CAR)","Baguio City","Education Program Supervisor",11,0,11,100
"181","Cordillera Administrative Region (CAR)","Baguio City","Engineer III",1,0,1,100
"182","Cordillera Administrative Region (CAR)","Baguio City","Guidance Counselor II",1,5,6,16.67
"183","Cordillera Administrative Region (CAR)","Baguio City","Guidance Counselor III",7,0,7,100
"184","Cordillera Administrative Region (CAR)","Baguio City","Head Teacher I",16,3,19,84.21
"185","Cordillera Administrative Region (CAR)","Baguio City","Head Teacher III",10,0,10,100
"186","Cordillera Administrative Region (CAR)","Baguio City","Head Teacher VI",16,1,17,94.12
"187","Cordillera Administrative Region (CAR)","Baguio City","Information Technology Officer I",1,0,1,100
"188","Cordillera Administrative Region (CAR)","Baguio City","Librarian II",1,0,1,100
"189","Cordillera Administrative Region (CAR)","Baguio City","Master Teacher I",171,5,176,97.16
"190","Cordillera Administrative Region (CAR)","Baguio City","Master Teacher II",99,0,99,100
"191","Cordillera Administrative Region (CAR)","Baguio City","Medical Officer III",2,0,2,100
"192","Cordillera Administrative Region (CAR)","Baguio City","Nurse II",9,0,9,100
"193","Cordillera Administrative Region (CAR)","Baguio City","Planning Officer III",1,0,1,100
"194","Cordillera Administrative Region (CAR)","Baguio City","Project Development Officer I",8,3,11,72.73
"195","Cordillera Administrative Region (CAR)","Baguio City","Project Development Officer II",2,0,2,100
"196","Cordillera Administrative Region (CAR)","Baguio City","Public Schools District Supervisor",10,0,10,100
"197","Cordillera Administrative Region (CAR)","Baguio City","Registrar I",1,0,1,100
"198","Cordillera Administrative Region (CAR)","Baguio City","School Librarian II",1,0,1,100
"199","Cordillera Administrative Region (CAR)","Baguio City","School Librarian III",1,0,1,100
"200","Cordillera Administrative Region (CAR)","Baguio City","School Principal I",32,0,32,100
"201","Cordillera Administrative Region (CAR)","Baguio City","School Principal II",15,0,15,100
"202","Cordillera Administrative Region (CAR)","Baguio City","School Principal III",6,0,6,100
"203","Cordillera Administrative Region (CAR)","Baguio City","School Principal IV",4,0,4,100
"204","Cordillera Administrative Region (CAR)","Baguio City","Schools Division Superintendent",1,0,1,100
"205","Cordillera Administrative Region (CAR)","Baguio City","Security Guard I",5,0,5,100
"206","Cordillera Administrative Region (CAR)","Baguio City","Senior Education Program Specialist",4,0,4,100
"207","Cordillera Administrative Region (CAR)","Baguio City","Special Education Teacher I",6,1,7,85.71
"208","Cordillera Administrative Region (CAR)","Baguio City","Special Education Teacher II",7,0,7,100
"209","Cordillera Administrative Region (CAR)","Baguio City","Special Education Teacher III",21,0,21,100
"210","Cordillera Administrative Region (CAR)","Baguio City","Special Science Teacher I",10,5,15,66.67
"211","Cordillera Administrative Region (CAR)","Baguio City","Teacher I",448,11,459,97.6
"212","Cordillera Administrative Region (CAR)","Baguio City","Teacher II",281,12,293,95.9
"213","Cordillera Administrative Region (CAR)","Baguio City","Teacher III",1340,8,1348,99.41
"214","Cordillera Administrative Region (CAR)","Baguio City","Watchman I",3,0,3,100
"215","Cordillera Administrative Region (CAR)","Benguet","Accountant I",1,0,1,100
"216","Cordillera Administrative Region (CAR)","Benguet","Accountant III",1,0,1,100
"217","Cordillera Administrative Region (CAR)","Benguet","Administrative Aide I",34,0,34,100
"218","Cordillera Administrative Region (CAR)","Benguet","Administrative Aide II",1,1,2,50
"219","Cordillera Administrative Region (CAR)","Benguet","Administrative Aide III",8,2,10,80
"220","Cordillera Administrative Region (CAR)","Benguet","Administrative Aide IV",13,0,13,100
"221","Cordillera Administrative Region (CAR)","Benguet","Administrative Aide VI",13,0,13,100
"222","Cordillera Administrative Region (CAR)","Benguet","Administrative Assistant I",1,0,1,100
"223","Cordillera Administrative Region (CAR)","Benguet","Administrative Assistant II",84,1,85,98.82
"224","Cordillera Administrative Region (CAR)","Benguet","Administrative Assistant III",62,3,65,95.38
"225","Cordillera Administrative Region (CAR)","Benguet","Administrative Officer I",11,0,11,100
"226","Cordillera Administrative Region (CAR)","Benguet","Administrative Officer II",324,2,326,99.39
"227","Cordillera Administrative Region (CAR)","Benguet","Administrative Officer III",2,0,2,100
"228","Cordillera Administrative Region (CAR)","Benguet","Administrative Officer IV",10,0,10,100
"229","Cordillera Administrative Region (CAR)","Benguet","Administrative Officer V",2,0,2,100
"230","Cordillera Administrative Region (CAR)","Benguet","Assistant School Principal II",3,0,3,100
"231","Cordillera Administrative Region (CAR)","Benguet","Attorney III",1,0,1,100
"232","Cordillera Administrative Region (CAR)","Benguet","Chief Education Supervisor",2,0,2,100
"233","Cordillera Administrative Region (CAR)","Benguet","Dentist II",3,0,3,100
"234","Cordillera Administrative Region (CAR)","Benguet","Education Program Specialist II",5,0,5,100
"235","Cordillera Administrative Region (CAR)","Benguet","Education Program Supervisor",11,0,11,100
"236","Cordillera Administrative Region (CAR)","Benguet","Engineer III",1,0,1,100
"237","Cordillera Administrative Region (CAR)","Benguet","Farm Worker I",1,3,4,25
"238","Cordillera Administrative Region (CAR)","Benguet","Guidance Counselor II",2,10,12,16.67
"239","Cordillera Administrative Region (CAR)","Benguet","Guidance Counselor III",7,3,10,70
"240","Cordillera Administrative Region (CAR)","Benguet","Head Teacher I",35,0,35,100
"241","Cordillera Administrative Region (CAR)","Benguet","Head Teacher II",9,0,9,100
"242","Cordillera Administrative Region (CAR)","Benguet","Head Teacher III",76,1,77,98.7
"243","Cordillera Administrative Region (CAR)","Benguet","Head Teacher IV",5,0,5,100
"244","Cordillera Administrative Region (CAR)","Benguet","Head Teacher V",4,0,4,100
"245","Cordillera Administrative Region (CAR)","Benguet","Head Teacher VI",2,0,2,100
"246","Cordillera Administrative Region (CAR)","Benguet","Information Technology Officer I",1,0,1,100
"247","Cordillera Administrative Region (CAR)","Benguet","Instructor I",1,0,1,100
"248","Cordillera Administrative Region (CAR)","Benguet","Librarian II",1,0,1,100
"249","Cordillera Administrative Region (CAR)","Benguet","Master Teacher I",259,0,259,100
"250","Cordillera Administrative Region (CAR)","Benguet","Master Teacher II",118,0,118,100
"251","Cordillera Administrative Region (CAR)","Benguet","Master Teacher III",2,0,2,100
"252","Cordillera Administrative Region (CAR)","Benguet","Medical Officer III",1,0,1,100
"253","Cordillera Administrative Region (CAR)","Benguet","Nurse II",43,0,43,100
"254","Cordillera Administrative Region (CAR)","Benguet","Planning Officer III",1,0,1,100
"255","Cordillera Administrative Region (CAR)","Benguet","Project Development Officer I",17,0,17,100
"256","Cordillera Administrative Region (CAR)","Benguet","Project Development Officer II",2,0,2,100
"257","Cordillera Administrative Region (CAR)","Benguet","Public Schools District Supervisor",10,0,10,100
"258","Cordillera Administrative Region (CAR)","Benguet","Registrar I",3,0,3,100
"259","Cordillera Administrative Region (CAR)","Benguet","School Librarian I",3,0,3,100
"260","Cordillera Administrative Region (CAR)","Benguet","School Librarian III",4,0,4,100
"261","Cordillera Administrative Region (CAR)","Benguet","School Principal I",114,0,114,100
"262","Cordillera Administrative Region (CAR)","Benguet","School Principal II",34,0,34,100
"263","Cordillera Administrative Region (CAR)","Benguet","School Principal III",7,1,8,87.5
"264","Cordillera Administrative Region (CAR)","Benguet","School Principal IV",5,0,5,100
"265","Cordillera Administrative Region (CAR)","Benguet","Schools Division Superintendent",1,0,1,100
"266","Cordillera Administrative Region (CAR)","Benguet","Security Guard I",18,0,18,100
"267","Cordillera Administrative Region (CAR)","Benguet","Security Guard II",2,0,2,100
"268","Cordillera Administrative Region (CAR)","Benguet","Senior Education Program Specialist",4,0,4,100
"269","Cordillera Administrative Region (CAR)","Benguet","Special Education Teacher I",28,2,30,93.33
"270","Cordillera Administrative Region (CAR)","Benguet","Special Education Teacher II",3,0,3,100
"271","Cordillera Administrative Region (CAR)","Benguet","Special Education Teacher III",8,0,8,100
"272","Cordillera Administrative Region (CAR)","Benguet","Special Science Teacher I",23,3,26,88.46
"273","Cordillera Administrative Region (CAR)","Benguet","Teacher I",1095,19,1114,98.29
"274","Cordillera Administrative Region (CAR)","Benguet","Teacher II",587,13,600,97.83
"275","Cordillera Administrative Region (CAR)","Benguet","Teacher III",2377,5,2382,99.79
"276","Cordillera Administrative Region (CAR)","Benguet","Watchman I",9,0,9,100
"277","Cordillera Administrative Region (CAR)","Ifugao","Accountant III",1,0,1,100
"278","Cordillera Administrative Region (CAR)","Ifugao","Administrative Aide I",54,6,60,90
"279","Cordillera Administrative Region (CAR)","Ifugao","Administrative Aide III",4,3,7,57.14
"280","Cordillera Administrative Region (CAR)","Ifugao","Administrative Aide IV",4,1,5,80
"281","Cordillera Administrative Region (CAR)","Ifugao","Administrative Aide VI",8,1,9,88.89
"282","Cordillera Administrative Region (CAR)","Ifugao","Administrative Assistant I",1,0,1,100
"283","Cordillera Administrative Region (CAR)","Ifugao","Administrative Assistant II",53,7,60,88.33
"284","Cordillera Administrative Region (CAR)","Ifugao","Administrative Assistant III",53,5,58,91.38
"285","Cordillera Administrative Region (CAR)","Ifugao","Administrative Officer I",7,0,7,100
"286","Cordillera Administrative Region (CAR)","Ifugao","Administrative Officer II",178,22,200,89
"287","Cordillera Administrative Region (CAR)","Ifugao","Administrative Officer IV",4,0,4,100
"288","Cordillera Administrative Region (CAR)","Ifugao","Administrative Officer V",2,0,2,100
"289","Cordillera Administrative Region (CAR)","Ifugao","Assistant School Principal II",3,0,3,100
"290","Cordillera Administrative Region (CAR)","Ifugao","Attorney III",1,0,1,100
"291","Cordillera Administrative Region (CAR)","Ifugao","Chief Education Supervisor",2,0,2,100
"292","Cordillera Administrative Region (CAR)","Ifugao","Dental Aide",1,0,1,100
"293","Cordillera Administrative Region (CAR)","Ifugao","Dentist II",2,0,2,100
"294","Cordillera Administrative Region (CAR)","Ifugao","Education Program Specialist II",5,0,5,100
"295","Cordillera Administrative Region (CAR)","Ifugao","Education Program Supervisor",11,0,11,100
"296","Cordillera Administrative Region (CAR)","Ifugao","Engineer III",1,0,1,100
"297","Cordillera Administrative Region (CAR)","Ifugao","Guidance Counselor III",1,1,2,50
"298","Cordillera Administrative Region (CAR)","Ifugao","Head Teacher I",17,0,17,100
"299","Cordillera Administrative Region (CAR)","Ifugao","Head Teacher II",2,0,2,100
"300","Cordillera Administrative Region (CAR)","Ifugao","Head Teacher III",50,3,53,94.34
"301","Cordillera Administrative Region (CAR)","Ifugao","Head Teacher IV",1,0,1,100
"302","Cordillera Administrative Region (CAR)","Ifugao","Information Technology Officer I",1,0,1,100
"303","Cordillera Administrative Region (CAR)","Ifugao","Librarian I",1,0,1,100
"304","Cordillera Administrative Region (CAR)","Ifugao","Librarian II",1,0,1,100
"305","Cordillera Administrative Region (CAR)","Ifugao","Master Teacher I",121,0,121,100
"306","Cordillera Administrative Region (CAR)","Ifugao","Master Teacher II",59,0,59,100
"307","Cordillera Administrative Region (CAR)","Ifugao","Master Teacher III",3,0,3,100
"308","Cordillera Administrative Region (CAR)","Ifugao","Medical Officer III",1,0,1,100
"309","Cordillera Administrative Region (CAR)","Ifugao","Nurse II",27,0,27,100
"310","Cordillera Administrative Region (CAR)","Ifugao","Planning Officer III",1,0,1,100
"311","Cordillera Administrative Region (CAR)","Ifugao","Project Development Officer I",11,0,11,100
"312","Cordillera Administrative Region (CAR)","Ifugao","Project Development Officer II",2,0,2,100
"313","Cordillera Administrative Region (CAR)","Ifugao","Public Schools District Supervisor",10,0,10,100
"314","Cordillera Administrative Region (CAR)","Ifugao","Registrar I",3,0,3,100
"315","Cordillera Administrative Region (CAR)","Ifugao","School Librarian I",2,1,3,66.67
"316","Cordillera Administrative Region (CAR)","Ifugao","School Librarian II",2,0,2,100
"317","Cordillera Administrative Region (CAR)","Ifugao","School Principal I",76,0,76,100
"318","Cordillera Administrative Region (CAR)","Ifugao","School Principal II",22,1,23,95.65
"319","Cordillera Administrative Region (CAR)","Ifugao","School Principal III",4,0,4,100
"320","Cordillera Administrative Region (CAR)","Ifugao","Security Guard I",26,1,27,96.3
"321","Cordillera Administrative Region (CAR)","Ifugao","Senior Education Program Specialist",4,0,4,100
"322","Cordillera Administrative Region (CAR)","Ifugao","Special Education Teacher I",7,0,7,100
"323","Cordillera Administrative Region (CAR)","Ifugao","Special Education Teacher II",1,0,1,100
"324","Cordillera Administrative Region (CAR)","Ifugao","Special Education Teacher III",6,0,6,100
